#group,false,false
#datatype,dateTime:RFC3339,double
#default,,
,time,value
,2026-07-29T11:34:56.186326788Z,12.528989999999999
,2026-07-29T11:34:55.229171079Z,12.528989999999999
,2026-07-29T11:34:54.404632213Z,12.958065
,2026-07-29T11:34:54.23569627Z,12.958065
,2026-07-29T11:34:53.400524282Z,13.21551
,2026-07-29T11:34:53.229920143Z,13.21551
,2026-07-29T11:34:52.43136226Z,144.598275
,2026-07-29T11:34:52.230505334Z,144.598275
,2026-07-29T11:34:51.403739641Z,200
,2026-07-29T11:34:51.228626408Z,200
,2026-07-29T11:34:50.410204271Z,200
,2026-07-29T11:34:50.228647677Z,200
,2026-07-29T11:34:49.412202954Z,200
,2026-07-29T11:34:49.229314226Z,200
,2026-07-29T11:34:48.387851874Z,15.532515
,2026-07-29T11:34:48.225168813Z,15.532515
,2026-07-29T11:34:47.472405431Z,9.525465
,2026-07-29T11:34:47.224348757Z,9.525465
,2026-07-29T11:34:46.402080285Z,9.542627999999999
,2026-07-29T11:34:46.232632521Z,9.542627999999999
,2026-07-29T11:34:45.400235849Z,9.525465
,2026-07-29T11:34:45.229782709Z,9.525465
,2026-07-29T11:34:44.43905427Z,9.525465
,2026-07-29T11:34:44.226932259Z,9.525465
,2026-07-29T11:34:43.414178355Z,9.525465
,2026-07-29T11:34:43.226438728Z,9.525465
,2026-07-29T11:34:42.397951578Z,9.525465
,2026-07-29T11:34:42.224830701Z,9.525465
,2026-07-29T11:34:41.423254996Z,9.525465
,2026-07-29T11:34:41.224037974Z,9.525465
,2026-07-29T11:34:40.399424219Z,9.525465
,2026-07-29T11:34:40.234536608Z,9.525465
,2026-07-29T11:34:39.481382334Z,9.525465
,2026-07-29T11:34:39.27679696Z,9.525465
,2026-07-29T11:34:38.390939093Z,9.525465
,2026-07-29T11:34:38.225325563Z,9.525465
